Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2011,,WrottesleyŒStreet,Wrottesley Street,
2011,Coventry,primroseŒhillŒCoventry,primrose hill Coventry,
2011,,AlbanyŒroad,Albany road,
2011,,AldbourneŒRoad,Aldbourne Road,
2011,,aldermansŒgreenŒroad,aldermans green road,
2011,,AllesleyŒOldŒRoad,Allesley Old Road,
2011,,AlmondŒTreeŒAvenue,Almond Tree Avenue,
2011,,arburyŒaveŒCoventry,arbury ave Coventry,
2011,,ArenaŒcarparkŒA444,Arena carpark A444,
2011,,argyleŒstŒCoventry,argyle st Coventry,
2011,,ArmstrongŒAvenueŒStoke,Armstrong Avenue Stoke,
2011,,AshorneŒClose,Ashorne Close,
2011,,AttoxhallŒRd,Attoxhall Rd,
2011,," averleyŒroadŒ,ŒdaimlerŒgreen"," averley road , daimler green",
2011,,AwsonŒStreet,Awson Street,
2011,," BandalsŒSurgery,ŒFoleshillŒRoad"," Bandals Surgery, Foleshill Road",
2011,,bellŒgreenŒrdŒJunctionŒA444,bell green rd Junction A444,
2011,," BellŒGreenŒRoad,ŒCoventry"," Bell Green Road, Coventry",
2011,," BellŒGreenŒRoad,ŒCoventry"," Bell Green Road, Coventry",
2011,,BinleyŒRoad,Binley Road,
2011,,BinleyŒRoad,Binley Road,
2011,,BinleyŒRoad,Binley Road,
2011,,BinleyŒRoad,Binley Road,
2011,,bishopŒstreet,bishop street,
2011,,BlackhorseŒlane,Blackhorse lane,
2011,,BlytheŒRoad,Blythe Road,
2011,,BPŒGarageŒAnstyŒroad,BP Garage Ansty road,
2011,,brambleŒstŒcoventry,bramble st coventry,
2011,," BraodŒParkŒRoad,ŒCoventry"," Braod Park Road, Coventry",
2011,," BredonŒAve,ŒCoventry"," Bredon Ave, Coventry",
2011,,Broadgate,Broadgate,
2011,,BullŒYard,Bull Yard,
2011,,BushberryŒAvenue,Bushberry Avenue,
2011,,buttsŒroadŒCoventry,butts road Coventry,
2011,,cashsŒlane,cashs lane,
2011,,CauldonŒroad,Cauldon road,
2011,,CharterŒAve,Charter Ave,
2011,,charterŒaveŒCoventry,charter ave Coventry,
2011,,ChesterŒStreet,Chester Street,
2011,,ChestertonŒRoad,Chesterton Road,
2011,," CheveralŒAve,ŒCoventry"," Cheveral Ave, Coventry",
2011,,CliffbridgeŒRoad,Cliffbridge Road,
2011,," CliftonŒStŒ,Coventry."," Clifton St ,Coventry.",
2011,,CocŒstreet,Coc street,
2011,," CommunalŒlandingŒatŒGeorgeŒPooleŒHouse,ŒCoventry"," Communal landing at George Poole House, Coventry",
2011,,ComptonŒroad,Compton road,
2011,,concourseŒnearŒmortimers,concourse near mortimers,
2011,,cookŒst,cook st,
2011,,CorporationŒSt,Corporation St,
2011,," CorporationŒStŒ,Coventry."," Corporation St ,Coventry.",
2011,,CorporationŒStreet,Corporation Street,
2011,,CoundonŒroad,Coundon road,
2011,,coventry,coventry,
2011,,CoventryŒCentralŒcells,Coventry Central cells,
2011,,CoventryŒCentralŒFrontŒoffice,Coventry Central Front office,
2011,,coventryŒcentralŒpolŒstn,coventry central pol stn,
2011,,coventryŒcentralŒpoliceŒstation,coventry central police station,
2011,,coventryŒcentralŒpoliceŒstation,coventry central police station,
2011,,CoventryŒCentralŒPS,Coventry Central PS,
2011,,CoventryŒCentralŒPS,Coventry Central PS,
2011,,CoventryŒRailwatŒStation.,Coventry Railwat Station.,
2011,,CoventryŒRailwayŒStation.,Coventry Railway Station.,
2011,,coventryŒtrainŒstation,coventry train station,
2011,,CoxŒstreet,Cox street,
2011,,CrossŒRoad,Cross Road,
2011,,devonshireŒarms,devonshire arms,
2011,,duckhamŒcourt,duckham court,
2011,,EarlsdonŒHighŒStreet,Earlsdon High Street,
2011,," ElmsŒPub,ŒBirminghamŒroad"," Elms Pub, Birmingham road",
2011,,fairfaxŒstreet,fairfax street,
2011,,farŒgosfordŒstreet,far gosford street,
2011,,FarŒGosfordŒStreet,Far Gosford Street,
2011,,FarndaleŒAve,Farndale Ave,
2011,,FarndaleŒAve,Farndale Ave,
2011,,FoleshillŒRd,Foleshill Rd,
2011,,FoleshillŒRoad,Foleshill Road,
2011,,FoleshillŒRoad,Foleshill Road,
2011,,FoleshillŒRoad,Foleshill Road,
2011,," FoleshillŒroad,ŒCoventry"," Foleshill road, Coventry",
2011,," FourŒPoundsŒAve,ŒCoventry"," Four Pounds Ave, Coventry",
2011,,FRiarsŒroad,FRiars road,
2011,,frontŒofŒCoventryŒCentralŒpoliceŒStation,front of Coventry Central police Station,
2011,,FrontŒoffice,Front office,
2011,,FrontŒOffice,Front Office,
2011,," GalaŒBingo,ŒPoolŒMeadow"," Gala Bingo, Pool Meadow",
2011,,GosfordŒStreet,Gosford Street,
2011,,GosfordŒstreet,Gosford street,
2011,,GosfordŒStreet,Gosford Street,
2011,,greyfriarsŒstŒCoventry,greyfriars st Coventry,
2011,,gulsonŒroadŒCoventry,gulson road Coventry,
2011,,GulsonŒRoadŒCoventry,Gulson Road Coventry,
2011,,haleŒst,hale st,
2011,," HalesŒStreet,ŒCoventry"," Hales Street, Coventry",
2011,,HartfrodŒstreet,Hartfrod street,
2011,,hayleŒstreet,hayle street,
2011,,haylesŒstreet,hayles street,
2011,,HedgefieldŒWay,Hedgefield Way,
2011,,heraldŒwayŒCoventry,herald way Coventry,
2011,,highŒstŒCoventry,high st Coventry,
2011,,HighŒStreet,High Street,
2011,,HighŒStreet,High Street,
2011,,HillŒStreet,Hill Street,
2011,,HipswellŒHighway,Hipswell Highway,
2011,,holmesdaleŒroad,holmesdale road,
2011,,hurstŒRoad,hurst Road,
2011,,ibisŒhotel,ibis hotel,
2011,,IkeaŒCarŒPark,Ikea Car Park,
2011,,ikeaŒplaza,ikea plaza,
2011,,ironŒmongerŒrow,iron monger row,
2011,,jardineŒcrescent,jardine crescent,
2011,,jardineŒcrescent,jardine crescent,
2011,,JasrdineŒCrescent,Jasrdine Crescent,
2011,,JDŒWetherspoonŒEarlsdon,JD Wetherspoon Earlsdon,
2011,,JordanŒWell,Jordan Well,
2011,," JordanŒWellŒ,ŒCoventry"," Jordan Well , Coventry",
2011,,JubileeŒcresent,Jubilee cresent,
2011,,KirbyŒRoad,Kirby Road,
2011,,LadyŒLane,Lady Lane,
2011,,LambethŒClose,Lambeth Close,
2011,,LeaderŒClose,Leader Close,
2011,,LidiceŒPlace,Lidice Place,
2011,," LincolnŒStreetŒ,Coventry"," Lincoln Street ,Coventry",
2011,,LittlŒParkŒStreet,Littl Park Street,
2011,," LittleŒparkŒstŒ,Coventry."," Little park st ,Coventry.",
2011,," LittleŒParkŒStŒ,Coventry."," Little Park St ,Coventry.",
2011,,littleŒparkŒstŒCoventry,little park st Coventry,
2011,,LittleŒParkŒStreet,Little Park Street,
2011,,LittleŒParkŒStreet,Little Park Street,
2011,,LittleŒParkŒstreet,Little Park street,
2011,,littleŒparkŒstreet,little park street,
2011,,LittleŒParkŒStreet,Little Park Street,
2011,,LittleŒParkŒStreet,Little Park Street,
2011,,LittleŒParkŒStreet,Little Park Street,
2011,,LittleŒParkŒStreet,Little Park Street,
2011,,littleŒparkŒstreet,little park street,
2011,,LondonŒRoad,London Road,
2011,,LondonŒRoad,London Road,
2011,,LongfordŒRoad,Longford Road,
2011,,LowerŒFordŒst,Lower Ford st,
2011,,lowerŒfordŒstreet,lower ford street,
2011,,lowerŒholyheadŒdŒjtnŒwithŒsponŒst,lower holyhead d jtn with spon st,
2011,,lowerŒholyheadŒrdŒCoventry,lower holyhead rd Coventry,
2011,,lowerŒholyheadŒroadŒCoventry,lower holyhead road Coventry,
2011,,LowerŒPrecinctŒCoventry,Lower Precinct Coventry,
2011,,MAFO,MAFO,
2011,,ManorŒhouseŒdrive,Manor house drive,
2011,,MarketŒWay,Market Way,
2011,,maryŒslessorŒst,mary slessor st,
2011,,masserŒroad,masser road,
2011,," McDonaldsŒRestaurantŒA45Œ,Coventry."," McDonalds Restaurant A45 ,Coventry.",
2011,," MemorialŒPark,ŒCoventry"," Memorial Park, Coventry",
2011,,MiddleŒRide,Middle Ride,
2011,,MileŒLane,Mile Lane,
2011,,MileŒlane,Mile lane,
2011,,MilleniumŒPlace,Millenium Place,
2011,,MilleniumŒPlace,Millenium Place,
2011,," MintŒCasino,ŒKingŒWilliamŒStreet"," Mint Casino, King William Street",
2011,,MirandaŒClose,Miranda Close,
2011,,morrisŒroad,morris road,
2011,,motorŒmuseum,motor museum,
2011,,newŒunionŒst,new union st,
2011,,NormanŒplaceŒroad,Norman place road,
2011,,NorthyŒRoad,Northy Road,
2011,,o/sŒCCFO,o/s CCFO,
2011,,o/sŒcoventryŒcentralŒpoliceŒstation,o/s coventry central police station,
2011,,o/sŒGosfordŒArms,o/s Gosford Arms,
2011,,OakŒGosfordŒStreet,Oak Gosford Street,
2011,,OutsideŒCoventryŒCentralŒPS,Outside Coventry Central PS,
2011,,OutsideŒFoleshillŒPS,Outside Foleshill PS,
2011,,OutsideŒfrontŒofŒCoventryŒCentralŒPoliceŒStation.,Outside front of Coventry Central Police Station.,
2011,,OutsideŒheatŒBar,Outside heat Bar,
2011,,outsideŒkasbars,outside kasbars,
2011,," OutsideŒofŒtheŒJewsonŒStand,ŒRichoŒarena,ŒCoventry"," Outside of the Jewson Stand, Richo arena, Coventry",
2011,,owenfordŒroad,owenford road,
2011,," PalmŒTreeŒAve,ŒWoodŒEnd"," Palm Tree Ave, Wood End",
2011,," PalmerŒLaneŒ,ŒCoventry."," Palmer Lane , Coventry.",
2011,," PalmerŒLaneŒ,ŒCoventry."," Palmer Lane , Coventry.",
2011,," PalmerŒLaneŒ,ŒCoventry."," Palmer Lane , Coventry.",
2011,," PenruddickŒDrive,ŒCoventry"," Penruddick Drive, Coventry",
2011,,PlymouthŒclose,Plymouth close,
2011,,poolŒmeadow,pool meadow,
2011,,PoolŒMeadowŒBusŒStation,Pool Meadow Bus Station,
2011,,poolŒmeadowŒbusŒstn,pool meadow bus stn,
2011,,Poolmeadow,Poolmeadow,
2011,,PoolmeadowŒbusŒstation,Poolmeadow bus station,
2011,,PoolmeadowŒbusŒstation,Poolmeadow bus station,
2011,," PoppyŒCourt,ŒRemembranceŒRoad,ŒWillenhall,ŒCoventry"," Poppy Court, Remembrance Road, Willenhall, Coventry",
2011,,PrimroseŒHillŒSt,Primrose Hill St,
2011,,PrimroseŒHillŒStreet,Primrose Hill Street,
2011,,PrimroseŒHillŒStreet,Primrose Hill Street,
2011,," PrimroseŒHillŒStreetŒ,Coventry."," Primrose Hill Street ,Coventry.",
2011,,PrincethorpeŒway,Princethorpe way,
2011,," PrioryŒFields,ŒCoventry"," Priory Fields, Coventry",
2011,,PrioryŒGardens,Priory Gardens,
2011,,PrioryŒStreet,Priory Street,
2011,,pumaŒway,puma way,
2011,," QueenŒMary'sŒRoadŒ,FoleshillŒ,Coventry."," Queen Mary's Road ,Foleshill ,Coventry.",
2011,,queenŒmarysŒroadŒCoventry,queen marys road Coventry,
2011,,QueenŒVictoriaŒRoad,Queen Victoria Road,
2011,,RadfordŒRoad,Radford Road,
2011,,RadfordŒroad,Radford road,
2011,,raglanŒstreet,raglan street,
2011,,RedŒlane,Red lane,
2011,,RemembranceŒRoad,Remembrance Road,
2011,,richoŒareana,richo areana,
2011,,richoŒareana,richo areana,
2011,," RichoŒarena,ŒCoventry"," Richo arena, Coventry",
2011,,RicohŒArena,Ricoh Arena,
2011,,RicohŒArena,Ricoh Arena,
2011,,RicohŒArena,Ricoh Arena,
2011,," Ridgethorpe,ŒWillenhall,ŒCoventry"," Ridgethorpe, Willenhall, Coventry",
2011,," RileysŒSquare,ŒBellŒGreen"," Rileys Square, Bell Green",
2011,,RingŒRd,Ring Rd,
2011,,RiverwalkŒWalkŒWoodŒEnd,Riverwalk Walk Wood End,
2011,," RolandŒAvenueŒ,HolbrooksŒ,Coventry."," Roland Avenue ,Holbrooks ,Coventry.",
2011,,rotherhanmŒroad,rotherhanm road,
2011,," SainsburysŒ,TrinityŒStŒ,Coventry."," Sainsburys ,Trinity St ,Coventry.",
2011,,ScotsŒLane,Scots Lane,
2011,,SewallŒHighway,Sewall Highway,
2011,,sewallŒhighway,sewall highway,
2011,,sewallŒhighwayŒCoventry,sewall highway Coventry,
2011,," SilverŒStreetŒ,Coventry."," Silver Street ,Coventry.",
2011,,SkyŒBlueŒWay,Sky Blue Way,
2011,,skyŒdome,sky dome,
2011,,skyŒdome,sky dome,
2011,,skyŒdome,sky dome,
2011,,skyŒdome,sky dome,
2011,,skyŒdome,sky dome,
2011,,skyŒdome,sky dome,
2011,,SkyŒdome,Sky dome,
2011,,SkyŒdome,Sky dome,
2011,,SkyŒDomeŒConcourse,Sky Dome Concourse,
2011,,SkyŒDomeŒConcourse,Sky Dome Concourse,
2011,,SkyŒDomeŒConcourse,Sky Dome Concourse,
2011,,skyŒdomeŒconcourse,sky dome concourse,
2011,,skyŒdomeŒconcourse,sky dome concourse,
2011,,skyŒdomeŒconcourseŒCovenmtry,sky dome concourse Covenmtry,
2011,,skyŒdomeŒconcourseŒCoventry,sky dome concourse Coventry,
2011,,SkyŒDomeŒconcourse.,Sky Dome concourse.,
2011,," SkyŒDome,ŒCoventry"," Sky Dome, Coventry",
2011,," SkyŒDome,ŒCoventryŒCityŒcentre"," Sky Dome, Coventry City centre",
2011,,SkyŒDome.,Sky Dome.,
2011,,skyŒdome.,sky dome.,
2011,,skyŒdome.,sky dome.,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,skydome,skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,," SkydomeŒ,ŒCoventry."," Skydome , Coventry.",
2011,,SkydomeŒCarŒPark,Skydome Car Park,
2011,,SkydomeŒCarŒPark,Skydome Car Park,
2011,,SkydomeŒcomplex,Skydome complex,
2011,,SkydomeŒComplex,Skydome Complex,
2011,,skydomeŒcomplex,skydome complex,
2011,," SkydomeŒComplex,ŒCoventry"," Skydome Complex, Coventry",
2011,,SkydomeŒconcourse,Skydome concourse,
2011,,SkydomeŒconcourse,Skydome concourse,
2011,,SkydomeŒconcourse,Skydome concourse,
2011,,SkydomeŒConcourse,Skydome Concourse,
2011,,SkydomeŒConcourse,Skydome Concourse,
2011,,SkydomeŒConcourse,Skydome Concourse,
2011,,SkydomeŒconcourse,Skydome concourse,
2011,,SkydomeŒconcourse,Skydome concourse,
2011,,skydomeŒconcourse,skydome concourse,
2011,,SkydomeŒconcourse,Skydome concourse,
2011,,SkydomeŒconcourse,Skydome concourse,
2011,,SkydomeŒconcourse,Skydome concourse,
2011,,SkydomeŒConcourse,Skydome Concourse,
2011,,SkydomeŒConcourse,Skydome Concourse,
2011,,SkydomeŒconcourse,Skydome concourse,
2011,," SkydomeŒconcourseŒ,Coventry"," Skydome concourse ,Coventry",
2011,,SkydomeŒconcourse...,Skydome concourse...,
2011,,skydomeŒCoventry,skydome Coventry,
2011,,SkydomeŒCoventry,Skydome Coventry,
2011,,SkydomeŒCoventryŒCityŒCentre,Skydome Coventry City Centre,
2011,," SkyDome,ŒCoventry"," SkyDome, Coventry",
2011,," Skydome,ŒCoventry"," Skydome, Coventry",
2011,,sorellŒClose,sorell Close,
2011,," SouthbankŒRoadŒ,Coventry."," Southbank Road ,Coventry.",
2011,,spomŒstŒcoventry,spom st coventry,
2011,,SponŒEnd,Spon End,
2011,," SponŒEnd,ŒCoventry"," Spon End, Coventry",
2011,," SponŒStŒ,Coventry"," Spon St ,Coventry",
2011,," SponŒStŒ,Coventry."," Spon St ,Coventry.",
2011,,SPONŒSTŒCoventry,SPON ST Coventry,
2011,,sponŒstŒCoventry,spon st Coventry,
2011,,sponŒstŒCoventry,spon st Coventry,
2011,,sponŒstŒCoventry,spon st Coventry,
2011,,sponŒstŒCoventry,spon st Coventry,
2011,,sponŒstŒCoventry,spon st Coventry,
2011,,sponŒstŒCoventry,spon st Coventry,
2011,,SponŒstreet,Spon street,
2011,,SponŒSTreet,Spon STreet,
2011,,SponŒStreet,Spon Street,
2011,,sponŒstreet,spon street,
2011,,sponŒstreet,spon street,
2011,,SponŒSTreet,Spon STreet,
2011,,StŒgeorgesŒroad,St georges road,
2011,," StŒGeorgesŒRoad,ŒStoke"," St Georges Road, Stoke",
2011,,StŒLukesŒRoadŒCoventry,St Lukes Road Coventry,
2011,,StonetŒStantonŒRoadŒPoliceŒStation,Stonet Stanton Road Police Station,
2011,," StoneyŒStantonŒRoadŒPoliceŒStation,ŒCoventry"," Stoney Stanton Road Police Station, Coventry",
2011,,SwanswellŒPark,Swanswell Park,
2011,,TachbrookŒClose,Tachbrook Close,
2011,," TarquinŒClose,ŒCoventry"," Tarquin Close, Coventry",
2011,,TerryŒRoad,Terry Road,
2011,," TerryŒRoad,ŒCoventry"," Terry Road, Coventry",
2011,,TheŒBullŒYardŒCityŒCentre,The Bull Yard City Centre,
2011,,TheŒBullyard,The Bullyard,
2011,,TheŒBurges,The Burges,
2011,,TheŒBurgess,The Burgess,
2011,,TheŒBurgess,The Burgess,
2011,,theŒburgess,the burgess,
2011,,theŒbuttsŒCoventry,the butts Coventry,
2011,,TheŒButtsŒRetreatŒPH,The Butts Retreat PH,
2011,,TheŒCroftŒLongford,The Croft Longford,
2011,," TheŒForumŒmedicalŒcentre,ŒCoventry"," The Forum medical centre, Coventry",
2011,,ThimblerŒRoad,Thimbler Road,
2011,,tileŒhillŒlaneŒcoventry,tile hill lane coventry,
2011,,TorringtonŒAvenue,Torrington Avenue,
2011,,TrinityŒpointŒLink,Trinity point Link,
2011,,trinityŒstreet,trinity street,
2011,,trinityŒstreet,trinity street,
2011,,TrinityŒStreet,Trinity Street,
2011,,trinityŒstreetŒcityŒcentreŒcoventry,trinity street city centre coventry,
2011,,UniversityŒHospital,University Hospital,
2011,,UniversityŒHospital,University Hospital,
2011,,UniversityŒHospitalŒCoventry,University Hospital Coventry,
2011,," UnniversityŒofŒWarwick,ŒCoventry"," Unniversity of Warwick, Coventry",
2011,,upperŒsponŒst,upper spon st,
2011,,VineŒStreet,Vine Street,
2011,,VineŒStreet,Vine Street,
2011,,VinecoteŒRoad,Vinecote Road,
2011,,WallaceŒRd,Wallace Rd,
2011,,WalsgraveŒhospital,Walsgrave hospital,
2011,,WarwickŒRow,Warwick Row,
2011,,WarwickŒuniversity,Warwick university,
2011,,WestŒOrchard,West Orchard,
2011,,WestŒOrchardsŒCirculatoryŒRoad,West Orchards Circulatory Road,
2011,,WhiteŒstreet,White street,
2011,,willenhallŒlaneŒcoventry,willenhall lane coventry,
2011,,WillenhallŒPoliceŒStationŒFrontŒOffice,Willenhall Police Station Front Office,
2011,,WillenhallŒPS,Willenhall PS,
2011,,Winnalthorpe,Winnalthorpe,
2011,,woodŒwayŒlaneŒCoventry,wood way lane Coventry,
2011,,WroxallŒDrive,Wroxall Drive,
2011,,WroxhallŒDrive,Wroxhall Drive,
2011,Dudley,albionŒstreetŒbrierleyŒhill,albion street brierley hill,
2011,,AmblecoteŒHighŒStreetŒStourbridge,Amblecote High Street Stourbridge,
2011,,ArleyŒCourt,Arley Court,
2011,,BaptistŒEndŒRoadŒNetherton.,Baptist End Road Netherton.,
2011,," BellŒSt,ŒStourbridge"," Bell St, Stourbridge",
2011,,bellŒstreet,bell street,
2011,," BellŒStreet,Stourbridge"," Bell Street,Stourbridge",
2011,,BHPS,BHPS,
2011,," BirminghamŒStreet,ŒStourbridge"," Birmingham Street, Stourbridge",
2011,,BramfordŒArms,Bramford Arms,
2011,,BrettleŒLane,Brettle Lane,
2011,,BrickhouseŒRoad,Brickhouse Road,
2011,," BrisbaneŒRoad,ŒSmethwick"," Brisbane Road, Smethwick",
2011,,BroadwayŒStourbridge,Broadway Stourbridge,
2011,," Broadway,ŒStourbridge"," Broadway, Stourbridge",
2011,," Broadway,ŒStourbridge"," Broadway, Stourbridge",
2011,," BurmeseŒWay,ŒRowleyŒRegis"," Burmese Way, Rowley Regis",
2011,," BusŒstation,Œdudley"," Bus station, dudley",
2011,,CarparkŒofŒMaybrookŒHosueŒinŒHalesowen,Carpark of Maybrook Hosue in Halesowen,
2011,,CarparkŒofŒtheŒBarleyŒMowŒŒHighŒStreetŒWollaston,Carpark of the Barley Mow  High Street Wollaston,
2011,,castlegateŒdudley,castlegate dudley,
2011,,CinderŒBankŒIslandŒNetherton,Cinder Bank Island Netherton,
2011,,CourtŒSt,Court St,
2011,," CourthouseŒPH,Œsedgeley"," Courthouse PH, sedgeley",
2011,,CrabmillŒcarparkŒOldswinford,Crabmill carpark Oldswinford,
2011,,CromptonŒRoad,Crompton Road,
2011,," CrownŒCentre,Œstourbridge"," Crown Centre, stourbridge",
2011,,DudleyŒBusŒStation,Dudley Bus Station,
2011,,dudleyŒPoliceŒStation,dudley Police Station,
2011,,dudleyŒroad,dudley road,
2011,," DudleyŒRoad,ŒBrierleyŒHill"," Dudley Road, Brierley Hill",
2011,," EdwardŒRutlandŒPH,ŒHighŒStreet,ŒStourbridge"," Edward Rutland PH, High Street, Stourbridge",
2011,,EnvilleŒRoad,Enville Road,
2011,,FernŒRd,Fern Rd,
2011,," FosterŒStreet,Stourbridge"," Foster Street,Stourbridge",
2011,,FrontŒOfficeŒBHPS,Front Office BHPS,
2011,," FrontŒoffice,ŒStourbridge"," Front office, Stourbridge",
2011,," FrontŒOffice,ŒStourbridgeŒPoliceŒstation."," Front Office, Stourbridge Police station.",
2011,,HagleyŒRoad,Hagley Road,
2011,," HalesowenŒRd,ŒNetherton"," Halesowen Rd, Netherton",
2011,,halesowenŒtownŒcentre,halesowen town centre,
2011,," HampdenŒClose,QuarryŒBank"," Hampden Close,Quarry Bank",
2011,," HerefordŒRoad,ŒNetherton"," Hereford Road, Netherton",
2011,,HighŒStŒStourbridge,High St Stourbridge,
2011,,highŒstŒstourbridge,high st stourbridge,
2011,,highŒstŒstourbridge,high st stourbridge,
2011,,highŒstŒstourbridge,high st stourbridge,
2011,," HighŒSt,ŒDudley"," High St, Dudley",
2011,," HighŒSt,ŒSedgely"," High St, Sedgely",
2011,," HighŒSt,ŒStourbridge"," High St, Stourbridge",
2011,," HighŒSt,ŒStourbridge"," High St, Stourbridge",
2011,," HighŒSt,ŒStourbridge"," High St, Stourbridge",
2011,," HighŒSt,ŒStourbridge"," High St, Stourbridge",
2011,," HighŒSt,ŒStourbridge"," High St, Stourbridge",
2011,,HighŒStreet,High Street,
2011,,HighŒStreet,High Street,
2011,,HighŒStreet,High Street,
2011,," HighŒStreetŒ,ŒBrierleyŒHill"," High Street , Brierley Hill",
2011,,HighŒStreetŒBlackHeath,High Street BlackHeath,
2011,,HighŒStreetŒquarryŒbank,High Street quarry bank,
2011,,highŒstreetŒstourbridge,high street stourbridge,
2011,,HighŒStreetŒStourbridge,High Street Stourbridge,
2011,,HighŒStreetŒStourbridge,High Street Stourbridge,
2011,,HighŒStreetŒStourbridge.,High Street Stourbridge.,
2011,,HighŒStreetŒWestŒBromwich,High Street West Bromwich,
2011,," HighŒStreet,ŒAmblecote"," High Street, Amblecote",
2011,," HighŒStreet,ŒSmethwick"," High Street, Smethwick",
2011,," HighŒStreet,ŒStourbridge"," High Street, Stourbridge",
2011,," highŒStreet,ŒStourbridge"," high Street, Stourbridge",
2011,," HighŒStreet,ŒStourbridge"," High Street, Stourbridge",
2011,," highŒStreet,ŒStourbridge"," high Street, Stourbridge",
2011,," HighŒStreet,ŒStourbridge"," High Street, Stourbridge",
2011,," HighŒStreet,ŒStourbridge"," High Street, Stourbridge",
2011,," HighŒStreet,ŒStourbridge"," High Street, Stourbridge",
2011,," HighŒStreet,ŒStourbridge"," High Street, Stourbridge",
2011,," HighŒStreet,Halesowen"," High Street,Halesowen",
2011,," HighŒViewŒSt,ŒDudley"," High View St, Dudley",
2011,," HillyŒlane,ŒHalesowen"," Hilly lane, Halesowen",
2011,," HimleyŒRoad,Gornal"," Himley Road,Gornal",
2011,,HomeŒaddress,Home address,
2011,,HopeŒTavernŒNetherton,Hope Tavern Netherton,
2011,," HurstŒRd,ŒOldbury"," Hurst Rd, Oldbury",
2011,," JacksonŒStreet,ŒLye"," Jackson Street, Lye",
2011,," KFC,ŒMerryŒHillŒCentre.ŒDudley"," KFC, Merry Hill Centre. Dudley",
2011,,KingŒStŒDudley,King St Dudley,
2011,," KingsleyŒRoad,Netherton"," Kingsley Road,Netherton",
2011,,LarelŒLaneŒHalesowen,Larel Lane Halesowen,
2011,," LittleŒBarrelŒPH,ŒDudley"," Little Barrel PH, Dudley",
2011,,LloydsŒbarŒStourbridge,Lloyds bar Stourbridge,
2011,," LongŒLane,ŒHalesowen"," Long Lane, Halesowen",
2011,," LowerŒDerryŒŒStreet,ŒBrierleyŒHill"," Lower Derry  Street, Brierley Hill",
2011,," LowerŒHighŒStreet,ŒStourbridge"," Lower High Street, Stourbridge",
2011,,LupinŒRoad,Lupin Road,
2011,,LyeŒhighŒSt,Lye high St,
2011,,marketŒstreetŒkingswinford,market street kingswinford,
2011,," MarketŒStreet,ŒKnigswinford."," Market Street, Knigswinford.",
2011,," MarketŒStreet,ŒStourbridge"," Market Street, Stourbridge",
2011,," MarketŒStreet,ŒStourbridge"," Market Street, Stourbridge",
2011,," MarketŒStreet,Kingswinford"," Market Street,Kingswinford",
2011,,MarriotŒRoad,Marriot Road,
2011,,MarriotŒRoad,Marriot Road,
2011,,MaryŒStevensŒPark,Mary Stevens Park,
2011,,MaybrookŒHouseŒcarŒparkŒHalesowen,Maybrook House car park Halesowen,
2011,," MeadowfieldsŒClose,ŒWordsley"," Meadowfields Close, Wordsley",
2011,," MerryhillŒCentre,ŒBrierleyŒHill"," Merryhill Centre, Brierley Hill",
2011,," MillŒStreet,Sedgley"," Mill Street,Sedgley",
2011,," MillŒStreet,Sedgley"," Mill Street,Sedgley",
2011,,MooreŒStreet,Moore Street,
2011,," NewŒRd,ŒDudley"," New Rd, Dudley",
2011,,NewŒRoadŒStourbridge,New Road Stourbridge,
2011,,NewŒStreetŒDudley,New Street Dudley,
2011,," OdeonŒCinemaŒ,ŒMerryŒhill"," Odeon Cinema , Merry hill",
2011,," OdeonŒCinemaŒ,ŒMerryŒhill"," Odeon Cinema , Merry hill",
2011,,outsideŒsantanderŒhighŒstreetŒstourbridge,outside santander high street stourbridge,
2011,,ParkŒRoadŒWrensŒNest,Park Road Wrens Nest,
2011,,PlaygroundŒatŒPrioryŒPrimaryŒSchool,Playground at Priory Primary School,
2011,," PrincessŒRoad,ŒOldŒHill"," Princess Road, Old Hill",
2011,," PrioryŒStreet,Dudley"," Priory Street,Dudley",
2011,,RHH,RHH,
2011,," RingŒRoadŒ,ŒŒStourbridge."," Ring Road ,  Stourbridge.",
2011,," RingŒRoad,ŒStourbridge"," Ring Road, Stourbridge",
2011,," RookeryŒPark,ŒPensnett"," Rookery Park, Pensnett",
2011,,salopŒstreet,salop street,
2011,,salopŒstreet,salop street,
2011,,SedgleyŒBullring,Sedgley Bullring,
2011,,SedgleyŒConservativeŒClub,Sedgley Conservative Club,
2011,,SedgleyŒConservativeŒclub,Sedgley Conservative club,
2011,,shortŒst,short st,
2011,," SouthŒRoad,Stourbridge"," South Road,Stourbridge",
2011,,Stourbridge,Stourbridge,
2011,,StourbridgeŒHighŒSt,Stourbridge High St,
2011,,StourbridgeŒHighŒStreet,Stourbridge High Street,
2011,,StourbridgeŒHighŒStreet,Stourbridge High Street,
2011,,stourbridgeŒhighŒstreet,stourbridge high street,
2011,,StourbridgeŒJunctionŒ.,Stourbridge Junction .,
2011,,StourbridgeŒPSŒFrontŒOffice,Stourbridge PS Front Office,
2011,,stourbridgeŒrdŒhollyŒhall,stourbridge rd holly hall,
